run,split,variant,resample,matched_n,auroc
NT,A,af_known_only,12,4222,0.813816150138197
NT,A,af_known_only,13,4222,0.8119206403667958
NT,A,af_known_only,14,4222,0.8179913430832294
NT,A,af_known_only,15,4222,0.8163193360621912
NT,A,af_known_only,16,4222,0.8155900349189388
NT,A,af_known_only,17,4222,0.8132017419750507
NT,A,af_known_only,18,4222,0.8167418819245741
NT,A,af_known_only,19,4222,0.8153353405196798
NT,A,af_known_only,20,4222,0.8163886757708881
NT,A,af_known_only,21,4222,0.817538054372654
NT,A,af_known_only,22,4222,0.8181802881794198
NT,A,af_known_only,23,4222,0.8153757325829984
NT,A,af_known_only,24,4222,0.8172153666668088
NT,A,af_known_only,25,4222,0.8190451271351413
NT,A,af_known_only,26,4222,0.820900020442872
NT,A,af_known_only,27,4222,0.8172465583157048
NT,A,af_known_only,28,4222,0.8137064183661814
NT,A,af_known_only,29,4222,0.8215597574770758
NT,A,af_known_only,30,4222,0.8180225347321255
NT,A,af_known_only,31,4222,0.8196976833580885
NT,A,af_known_only,32,4222,0.8175793440373798
NT,A,af_known_only,33,4222,0.8189695042165948
NT,A,af_known_only,34,4222,0.8170291143748397
NT,A,af_known_only,35,4222,0.8179045001470945
NT,A,af_known_only,36,4222,0.8111697967897734
NT,A,af_known_only,37,4222,0.8170946392775565
NT,A,af_known_only,38,4222,0.8146298258137149
NT,A,af_known_only,39,4222,0.8179496046178002
NT,A,af_known_only,40,4222,0.8149415179023235
NT,A,af_known_only,41,4222,0.8192378870373117
NT,A,af_known_only,42,4222,0.8158043372548791
NT,A,af_known_only,43,4222,0.8110582698149438
NT,A,af_known_only,44,4222,0.8177783871493997
NT,A,af_known_only,45,4222,0.8211823160853987
NT,A,af_known_only,46,4222,0.8156169629611512
NT,A,af_known_only,47,4222,0.8152022711110802
NT,A,af_known_only,48,4222,0.8154912987641599
NT,A,af_known_only,49,4222,0.8183117867855569
NT,A,af_known_only,50,4222,0.8101218471470076
NT,A,af_known_only,51,4222,0.8154120854399851
NT,A,af_known_only,52,4222,0.8156694726434653
NT,A,af_known_only,53,4222,0.8173906233415411
NT,A,af_known_only,54,4222,0.8169550622587556
NT,A,af_known_only,55,4222,0.8089610241273014
NT,A,af_known_only,56,4222,0.8202416298107789
NT,A,af_known_only,57,4222,0.8145418608758211
NT,A,af_known_only,58,4222,0.8196305876529092
NT,A,af_known_only,59,4222,0.8201648848904736
NT,A,af_known_only,60,4222,0.818449344201192
NT,A,af_known_only,61,4222,0.8155619848749674
NT,A,af_known_only,62,4222,0.8201218000229337
NT,A,af_known_only,63,4222,0.8182182118388689
NT,A,af_known_only,64,4222,0.8137353660115597
NT,A,af_known_only,65,4222,0.8171581445771074
NT,A,af_known_only,66,4222,0.8168282760600055
NT,A,af_known_only,67,4222,0.8184019957269685
NT,A,af_known_only,68,4222,0.8149837051684562
NT,A,af_known_only,69,4222,0.8164187454180253
NT,A,af_known_only,70,4222,0.8165531612287356
NT,A,af_known_only,71,4222,0.814980114762828
NT,A,af_known_only,72,4222,0.8145315384596397
NT,A,af_known_only,73,4222,0.8212821742419364
NT,A,af_known_only,74,4222,0.8160392844231823
NT,A,af_known_only,75,4222,0.8194461305637543
NT,A,af_known_only,76,4222,0.8111567815693708
NT,A,af_known_only,77,4222,0.8183559936548557
NT,A,af_known_only,78,4222,0.8157971564436225
NT,A,af_known_only,79,4222,0.8154829959511445
NT,A,af_known_only,80,4222,0.818178044175902
NT,A,af_known_only,81,4222,0.8143861270316928
NT,A,af_known_only,82,4222,0.8177043350333156
NT,A,af_known_only,83,4222,0.8231776840133375
NT,A,af_known_only,84,4222,0.8161804322444456
NT,A,af_known_only,85,4222,0.8155177780056688
NT,A,af_known_only,86,4222,0.8191930069669577
NT,A,af_known_only,87,4222,0.8202180677738431
NT,A,af_known_only,88,4222,0.8173295864458597
NT,A,af_known_only,89,4222,0.8130904394005728
NT,A,af_known_only,90,4222,0.8153436433326953
NT,A,af_known_only,91,4222,0.8186966333888425
NT,A,af_known_only,92,4222,0.814071742138863
NT,A,af_known_only,93,4222,0.8204065640693299
NT,A,af_known_only,94,4222,0.8185584027721522
NT,A,af_known_only,95,4222,0.8136368542571327
NT,A,af_known_only,96,4222,0.8158617837449322
